Node ,Area,Time(traffic flow),,,
,,8,12,16,20
1,Residential,Fast,Fast,Fast,Medium
2,Office,Fast,Fast,Fast,Medium
3,Residential,Medium,Medium,Medium,Medium
4,Residential,Medium,Medium,Medium,Medium
5,Office,Medium,Medium,Medium,Medium
6,Market,Medium,Medium,Medium,Medium
7,Office,Medium,Fast,Fast,Medium
8,Office,Medium,Fast,Fast,Medium
9,Residential,Fast,Medium,Medium,Medium
10,School,Fast,Medium,Medium,Medium
11,School,Fast,Medium,Medium,Medium
12,Market,Fast,Medium,Medium,Medium
13,School,Fast,Medium,Medium,Medium
14,Market,Fast,Medium,Medium,Medium
15,Market,Medium,Medium,Medium,Medium
16,Residential,Medium,Medium,Medium,Medium
17,Office,Medium,Fast,Fast,Medium
18,Office,Fast,Fast,Fast,Medium
19,Office,Fast,Fast,Fast,Medium
20,Market,Fast,Fast,Fast,Medium
21,Office,Medium,Fast,Fast,Medium
22,Office,Fast,Fast,Fast,Medium
23,Office,Fast,Fast,Fast,Medium
24,Residential,Medium,Fast,Fast,Medium
25,Residential,Medium,Fast,Fast,Medium
26,Residential,Fast,Medium,Medium,Medium
27,Residential,Fast,Medium,Medium,Medium
28,Residential,Fast,Medium,Medium,Medium
29,Residential,Medium,Medium,Medium,Medium
30,Office,Fast,Medium,Medium,Medium
31,Office,Fast,Medium,Medium,Medium
32,Office,Fast,Fast,Fast,Medium
33,Office,Medium,Fast,Fast,Medium
34,Office,Fast,Fast,Fast,Medium
35,School,Fast,Medium,Medium,Medium
36,Office,Fast,Fast,Fast,Medium
37,Market,Fast,Fast,Fast,Medium
38,Residential,Fast,Fast,Fast,Medium
39,Office,Fast,Fast,Fast,Medium
40,Market,Fast,Medium,Medium,Medium
41,Office,Fast,Medium,Medium,Medium
42,Market,Medium,Medium,Medium,Medium
43,Office,Medium,Medium,Medium,Medium
44,School,Medium,Medium,Medium,Medium
45,Residential,Medium,Medium,Medium,Medium
46,Residential,Medium,Medium,Medium,Medium
47,Residential,Medium,Medium,Medium,Medium
48,Market,Medium,Medium,Medium,Medium
49,Residential,Medium,Slow,Slow,Slow
50,Residential,Fast,Medium,Medium,Medium
51,Residential,Fast,Slow,Slow,Slow
52,Office,Fast,Medium,Medium,Medium
53,Residential,Fast,Medium,Medium,Medium
54,Office,Fast,Medium,Medium,Medium
55,Office,Fast,Medium,Medium,Medium
56,Office,Fast,Fast,Fast,Medium
57,School,Fast,Medium,Medium,Medium
58,Office,Fast,Medium,Medium,Medium
59,Office,Fast,Medium,Medium,Medium
60,School,Medium,Medium,Medium,Medium
61,Residential,Fast,Medium,Medium,Medium
62,School,Fast,Medium,Medium,Medium
63,Office,Fast,Medium,Medium,Medium
64,Residential,Fast,Medium,Medium,Medium
65,Residential,Fast,Medium,Medium,Medium
66,Residential,Fast,Medium,Medium,Medium
67,Residential,Medium,Medium,Medium,Medium
68,Office,Fast,Medium,Medium,Medium
69,Office,Fast,Fast,Fast,Fast
70,Office,Medium,Medium,Medium,Medium
71,Residential,Fast,Medium,Medium,Medium
72,Office,Fast,Medium,Medium,Medium
73,Office,Fast,Fast,Fast,Medium
74,Office,Fast,Fast,Fast,Medium
75,Residential,Fast,Medium,Medium,Medium
76,Market,Fast,Medium,Medium,Medium
77,Office,Fast,Medium,Medium,Medium
78,Office,Fast,Medium,Medium,Medium
79,Residential,Fast,Medium,Medium,Medium
80,School,Fast,Medium,Medium,Medium
81,School,Fast,Medium,Medium,Medium
82,Market,Fast,Medium,Medium,Medium
83,Office,Fast,Medium,Medium,Medium
84,Office,Medium,Medium,Medium,Medium
